playlist_id,channel_id,playlist_name
PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,UCE5ywHWaxPWJ9_NSevHaJ-g,🇱🇰SRI LANKA🇱🇰
PLRob85Vezn1LgpH5Pe0IuBWWtZuNLkAm4,UCE5ywHWaxPWJ9_NSevHaJ-g,SOUTH INDIA BUS SERIES
PLRob85Vezn1LDTOds-64y8TWKgtxoN04X,UCE5ywHWaxPWJ9_NSevHaJ-g,🇵🇰PAKISTAN🇵🇰
PLRob85Vezn1LoVfDREyLEMfvXpOPKeZIu,UCE5ywHWaxPWJ9_NSevHaJ-g,MONSOON KARNATAKA
PLRob85Vezn1KHBqz-VE9pRVzXFeGELLlZ,UCE5ywHWaxPWJ9_NSevHaJ-g,TRIVANDRUM
PLRob85Vezn1LRH4LB-Jm6Qw937ib-2fV6,UCE5ywHWaxPWJ9_NSevHaJ-g,MUTHUNAGAR #TTU
PLRob85Vezn1KZS8ll3m7oc8QnlWw1k7-Q,UCE5ywHWaxPWJ9_NSevHaJ-g,🇧🇩BANGLADESH🇧🇩
PLRob85Vezn1IZFIF2vKUcHrwtXSz-IMSM,UCE5ywHWaxPWJ9_NSevHaJ-g,KASHMIR
PLRob85Vezn1LpOkKuXQ8Cv7iiMOHj4-iW,UCE5ywHWaxPWJ9_NSevHaJ-g,CHIKMAGALUR
PLRob85Vezn1IY5dG8b0AHkJ170z23Yx-g,UCE5ywHWaxPWJ9_NSevHaJ-g,VIJAYAWADA
PLRob85Vezn1JMSi6_oZs1WAKkmB2WOjyV,UCE5ywHWaxPWJ9_NSevHaJ-g,MYSURU
PLRob85Vezn1JKxFtIIgGwxiLR8OJLsv4Z,UCE5ywHWaxPWJ9_NSevHaJ-g,KONKAN MONSOON SERIES
PLRob85Vezn1Ku7DC4Bksnoi-_msuohouO,UCE5ywHWaxPWJ9_NSevHaJ-g,ASSAM
PLRob85Vezn1LW4t6LzbzU-jTXJSUM9GjE,UCE5ywHWaxPWJ9_NSevHaJ-g,JAIPUR-DELHI-KATRA
PLRob85Vezn1KmjDOQ2tYKWrxLR3GHpIYU,UCE5ywHWaxPWJ9_NSevHaJ-g,VARANASI
PLRob85Vezn1LB7wJvFq1dEmE4t6rmbV46,UCE5ywHWaxPWJ9_NSevHaJ-g,MANALI & SHIMLA
PLRob85Vezn1LKB8QrCF-v4uQYza9NKb0O,UCE5ywHWaxPWJ9_NSevHaJ-g,Train Travel Vlogs
PLRob85Vezn1KYajWRrIVPBlNiMaTo1ZLU,UCE5ywHWaxPWJ9_NSevHaJ-g,KANTHALOOR (Kerala)
PLRob85Vezn1Id09DjPxmJoD3NYbt3BB11,UCE5ywHWaxPWJ9_NSevHaJ-g,KOCHI-ERNAKULAM
PLRob85Vezn1JVRzqGqFeXv5G0bcbm7iOB,UCE5ywHWaxPWJ9_NSevHaJ-g,COIMBATORE & OOTY
PLRob85Vezn1JRFQZpIphQ2JqRer_i6jwG,UCE5ywHWaxPWJ9_NSevHaJ-g,MADURAI
PLRob85Vezn1L2v2fklzTGB6O1SaG2BILB,UCE5ywHWaxPWJ9_NSevHaJ-g,Bus Travel Vlogs
