video_id,playlist_id,video_name,video_description,view_count,like_count,dislike_count,favorite_count,comment_count,thumbnail,published_date,duration
ezZKKo5Ju08,PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,🔥தமிழ்நாடு to ஸ்ரீலங்கா in FLIGHT!!! 🇱🇰SriLankan Airlines Economy Class Travel Vlog | Naveen Kumar,"Journey Date - 18th January 2024

Srilanka Series Playlist
https://youtube.com/playlist?list=PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx&si=fjPqI00VimtinE7z

Travel Partner - @adhi360vlogs 

Follow me on Instagram
https://www.instagram.com/naveen_kumar_vlogger/

#srilankanairlines #srilanka #tamilnadu #india #flight #airlines #vlog #review #tamil #travel #naveenkumar #aeroplane #airport #chennai #colombo #flights #srilankaairlines #indiatosrilanka #tamilnadutosrilanka",97213,4524,0,0,410,https://i.ytimg.com/vi/ezZKKo5Ju08/default.jpg,2024-01-25 16:53:36,34.88
OfeitqqoVKI,PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,🇱🇰உலகத்திலேயே இப்படி ஒரு TRAIN ஸ்ரீலங்கா-ல தான் இருக்கா!!! SriLanka's Coastal Express | Naveen Kumar,"Journey Date - 18th January 2024 

Srilanka Series Playlist
https://youtube.com/playlist?list=PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx&si=fjPqI00VimtinE7z

Follow me on Instagram
https://www.instagram.com/naveen_kumar_vlogger/

#trainnearsea #seatrain #srilanka #srilankanrailways #railways #srilankarailways #galukumariexpress #coastaltrain #train #trains #trainnearbeach #srilankatrain #ruhunukumariexpress #colombo #maradana #colombotrain #galle #galletrain #vlog #travel #tamil #naveenkumar #naveenkumarsrilanka",140684,5012,0,0,459,https://i.ytimg.com/vi/OfeitqqoVKI/default.jpg,2024-01-25 16:53:42,32.32
Uz9LSUHQKo4,PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,😳SHOCKING PRICE & EXPENSES IN SRI LANKA🇱🇰!!! Galle Dutch Fort| ஸ்ரீலங்கா Kottu Parotta| Naveen Kumar,"Vlog Date - 18th & 19th January 2024 

Srilanka Series Playlist
https://youtube.com/playlist?list=PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx&si=fjPqI00VimtinE7z

Follow me on Instagram
https://www.instagram.com/naveen_kumar_vlogger/

#srilanka #galle #tamil #colombo #train #trains #india #indian #bus #buses #food #rooms #hotel #prices #cost #money #fort #dutchfort #cricketstadium #ceylon #vlog #naveenkumar",32332,1920,0,0,194,https://i.ytimg.com/vi/Uz9LSUHQKo4/default.jpg,2024-01-25 16:53:52,31.43
V0XihzUmeOs,PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,🇱🇰SRI LANKAN COASTAL SEA BUS TRAVEL VLOG!!! Galle-Colombo | Galle Face | Dehiwala Zoo | Naveen Kumar,"Vlog Date - 19th January 2024 

Srilanka Series Playlist
https://youtube.com/playlist?list=PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx&si=fjPqI00VimtinE7z

Follow me on Instagram
https://www.instagram.com/naveen_kumar_vlogger/

#srilanka #bus #galle #colombo #buses #sea #coastal #travel #vlog #lanka #sltb #busstand #tamil #galleface #beach #parliament #dehiwalazoo #srilankazoo #pickmeapp #naveenkumar",34412,2085,0,0,159,https://i.ytimg.com/vi/V0XihzUmeOs/default.jpg,2024-01-27 17:14:10,31.75
ttLZero5TRI,PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,🇱🇰MY FIRST NIGHT TRAIN TRAVEL IN SRI LANKA!!! Colombo-Trincomalee Night Mail Express | Naveen Kumar,"Journey Date - 19th January 2024 

Srilanka Series Playlist
https://youtube.com/playlist?list=PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx&si=fjPqI00VimtinE7z

Follow me on Instagram
https://www.instagram.com/naveen_kumar_vlogger/

#srilanka #train #trincomalee #colombo #trains #nighttrain #thirukonamalai #colombofort #railwaystation #srilankan #railways #srilankanrailways #srilankatrain #tamil #vlog #nightmailexpress #colombototrincomalee #naveenkumar #slrailways #lanka #latestnews",51186,2573,0,0,215,https://i.ytimg.com/vi/ttLZero5TRI/default.jpg,2024-01-30 03:19:31,33.45
uk6JgwOwcVg,PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,🇱🇰FAMOUS TRINCOMALEE SHIVA TEMPLE IN SRILANKA!!! First SriLankan Government Bus Travel |Naveen Kumar,"Vlog Date - 20th January 2024 

Srilanka Series Playlist
https://youtube.com/playlist?list=PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx&si=fjPqI00VimtinE7z

Follow me on Instagram
https://www.instagram.com/naveen_kumar_vlogger/

#srilanka #trincomalee #temple #shakthipeetam #shivatemple #thirukonamalai #thirukoneshwaram #trincomaleetemple #beach #touristplace #placestovisit #placestosee #tami #vlog #bus #sltb #srilankabus #governmentbus #kandy #kandybus #trincomaleebus #trincomaleetokandy #kandytotrincomalee #dambulla #elephant #elephants #naveenkumar",23097,1527,0,0,147,https://i.ytimg.com/vi/uk6JgwOwcVg/default.jpg,2024-02-01 16:19:45,29.05
PkrPsq1MCWU,PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,"🏯WORLD FAMOUS BUDDHIST TEMPLE IN SRILANKA!!! Dalada Maligawa,Kandy|SriLanka Food Review|Naveen Kumar","Vlog Date - 21st January 2024

Srilanka Series Playlist
https://youtube.com/playlist?list=PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx&si=fjPqI00VimtinE7z

Follow me on Instagram
https://www.instagram.com/naveen_kumar_vlogger/

#srilanka #kandy #daladamaligawa #buddhist #temple #buddhisttemple #kandylake #touristplaces #placestovisit #placestosee #food #hotels #hotel #vlog #review #tamil #naveenkumar #maligawatemple #buddhism",14266,1056,0,0,92,https://i.ytimg.com/vi/PkrPsq1MCWU/default.jpg,2024-02-04 15:49:37,24.62
4gWd_jwHqOo,PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,🇱🇰SRILANKAN RAILWAYS-ல பயங்கரமான Train-ஆ இருக்கே!!!Kandy-Colombo Vistadome Saloon Train|Naveen Kumar,"Journey Date - 21st January 2024

Srilanka Series Playlist
https://youtube.com/playlist?list=PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx&si=fjPqI00VimtinE7z

Follow me on Instagram
https://www.instagram.com/naveen_kumar_vlogger/

#srilanka #train #railways #trains #railway #kandy #colombo #colombofort #maradana #railwaystation #observationsaloon #secondclass #firstclass #thirdclass #booking #unreserved #lanka #srilankatrain #srilankanrailways #vlog #tamil #intercityexpress #kandytrain #colombotrain #naveenkumar",30115,1833,0,0,154,https://i.ytimg.com/vi/4gWd_jwHqOo/default.jpg,2024-02-04 15:49:45,28.42
E6mdWf22ASM,PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,🚂WORLD FAMOUS RAIL ROUTE OF SRILANKA🇱🇰!!! Badulla-Ella Podi Menike | Nine Arch Bridge | Naveen Kumar,"Journey Date - 22nd January 2024

Srilanka Series Playlist
https://youtube.com/playlist?list=PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx&si=fjPqI00VimtinE7z

Follow me on Instagram
https://www.instagram.com/naveen_kumar_vlogger/

#srilanka #train #ella #badulla #ninearchbridge #famous #srilankan #railways #railway #trains #express #podimenike #podimenikeexpress #ellaodyssey #vlog #tamil #naveenkumar",29875,1765,0,0,163,https://i.ytimg.com/vi/E6mdWf22ASM/default.jpg,2024-02-07 11:52:25,34.9
cMBQinmlczM,PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx,🇱🇰SRILANKA யாழ்ப்பாணம் LUXURY BUS TRAVEL VLOG!!! Colombo to Anuradhapura Private Bus | Naveen Kumar,"Journey Date - 23rd January 2024

Srilanka Series Playlist
https://youtube.com/playlist?list=PLRob85Vezn1LmweYIi0IjzdKr8XYDyArx&si=fjPqI00VimtinE7z

Follow me on Instagram
https://www.instagram.com/naveen_kumar_vlogger/

#srilanka #yazhpanam #jaffna #anuradhapura #colombo #bus #buses #luxurybus #acbus #colombotoanuradhapura #colombotojaffna #colkmbotoyazhpanam #mannar #thalaimannar #busvlog #travel #vlog #yazhbus #yazhpanambus #jaffnabus #tamil #naveenkumar",63606,2629,0,0,272,https://i.ytimg.com/vi/cMBQinmlczM/default.jpg,2024-02-08 12:24:25,18.87
